record,record_id,date,time,lat,long,ew,sact,speed,sdir,cld,prec,wspeed,wdir,atmp,aprs,sste,stmp,sal,depth,obs,csmeth,month,seasn,long360,latcell,longecell
1,1083001,1975-10-15T00:00:00Z,1899-12-31T14:00:00Z,-45.916666666666664,165.4,E,1,15,NA,2,8,5,NA,NA,NA,5,NA,NA,NA,JEFF,F,10,spring,165.4,-45.5,165.5
2,1084001,1975-11-03T00:00:00Z,1899-12-31T13:10:00Z,-35.53333333333333,125,E,1,14,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,125,-35.5,125.5
3,1084002,1975-11-04T00:00:00Z,1899-12-31T14:20:00Z,-37.666666666666664,132.25,E,1,14.5,NA,2,0,4,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,132.25,-37.5,132.5
4,1084003,1975-11-08T00:00:00Z,1899-12-31T16:15:00Z,-40,162,E,1,14.6,NA,1,2,4,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,162,-40.5,162.5
5,1086001,1975-11-16T00:00:00Z,1899-12-31T12:30:00Z,-36.166666666666664,174.91666666666666,E,1,15,NA,1,0,0,NA,NA,NA,1,NA,NA,NA,JEFF,F,11,spring,174.91666666666666,-36.5,174.5
6,1086002,1975-11-16T00:00:00Z,1899-12-31T15:30:00Z,-35.416666666666664,174.56666666666666,E,1,15,NA,2,0,3,NA,NA,NA,3,NA,NA,NA,JEFF,F,11,spring,174.56666666666666,-35.5,174.5
7,1086003,1975-11-17T00:00:00Z,1899-12-31T14:30:00Z,-35.25,168,E,1,15,NA,1,8,3,NA,NA,NA,3,NA,NA,NA,JEFF,F,11,spring,168,-35.5,168.5
8,1086004,1975-11-17T00:00:00Z,1899-12-31T16:30:00Z,-35.3,167.33333333333334,E,1,15,NA,1,8,2,NA,NA,NA,3,NA,NA,NA,JEFF,F,11,spring,167.33333333333334,-35.5,167.5
9,1086005,1975-11-18T00:00:00Z,1899-12-31T14:30:00Z,-36.5,161,E,1,15,NA,1,0,3,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,161,-36.5,161.5
10,1086006,1975-11-18T00:00:00Z,1899-12-31T16:30:00Z,-36.333333333333336,160.5,E,1,15,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,JEFF,F,11,spring,160.5,-36.5,160.5
11,1086007,1975-11-20T00:00:00Z,1899-12-31T12:00:00Z,-39.18333333333333,146.28333333333333,E,1,15,NA,2,0,7,NA,NA,NA,5,NA,NA,NA,JEFF,F,11,spring,146.28333333333333,-39.5,146.5
12,1087001,1975-11-22T00:00:00Z,1899-12-31T14:00:00Z,NA,NA,NA,1,15,NA,2,0,4,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,NA,NA,NA
13,1087002,1975-11-23T00:00:00Z,1899-12-31T14:30:00Z,-39.666666666666664,154.16666666666666,E,1,15,NA,2,0,6,NA,NA,NA,5,NA,NA,NA,JEFF,F,11,spring,154.16666666666666,-39.5,154.5
14,1087003,1975-11-23T00:00:00Z,1899-12-31T16:00:00Z,-39.666666666666664,155,E,1,15,NA,2,0,6,NA,NA,NA,5,NA,NA,NA,JEFF,F,11,spring,155,-39.5,155.5
15,1087004,1975-11-24T00:00:00Z,1899-12-31T12:00:00Z,-39.85,161.93333333333334,E,1,15,NA,2,0,6,NA,NA,NA,5,NA,NA,NA,JEFF,F,11,spring,161.93333333333334,-39.5,161.5
16,1087005,1975-11-24T00:00:00Z,1899-12-31T14:00:00Z,-39.93333333333333,162.08333333333334,E,1,15,NA,2,0,6,NA,NA,NA,5,NA,NA,NA,JEFF,F,11,spring,162.08333333333334,-39.5,162.5
17,1087006,1975-11-24T00:00:00Z,1899-12-31T16:00:00Z,-40,164,E,1,15,NA,2,0,6,NA,NA,NA,5,NA,NA,NA,JEFF,F,11,spring,164,-40.5,164.5
18,1087007,1975-11-24T00:00:00Z,1899-12-31T18:00:00Z,-40,NA,NA,1,15,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,NA,-40.5,NA
19,1087008,1975-11-25T00:00:00Z,1899-12-31T10:00:00Z,-40.1,167.5,E,1,15,NA,2,0,4,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,167.5,-40.5,167.5
20,1087009,1975-11-25T00:00:00Z,1899-12-31T13:00:00Z,-40.166666666666664,168.66666666666666,E,1,15,NA,2,0,5,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,168.66666666666666,-40.5,168.5
21,1087010,1975-11-25T00:00:00Z,1899-12-31T14:00:00Z,-40.2,169.08333333333334,E,1,15,NA,2,0,4,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,169.08333333333334,-40.5,169.5
22,1087011,1975-11-25T00:00:00Z,1899-12-31T15:20:00Z,-40.21666666666667,169.5,E,1,15,NA,2,0,4,NA,NA,NA,3,NA,NA,NA,JEFF,F,11,spring,169.5,-40.5,169.5
23,1088001,1975-11-09T00:00:00Z,1899-12-31T16:50:00Z,-33,152,E,1,10,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,NESF,F,11,spring,152,-33.5,152.5
24,1088002,1975-11-09T00:00:00Z,1899-12-31T18:25:00Z,-33,152,E,1,10,NA,2,0,3,NA,NA,NA,4,NA,NA,NA,NESF,F,11,spring,152,-33.5,152.5
25,1088003,1975-11-09T00:00:00Z,NA,-34,152,E,1,10,NA,2,0,3,NA,NA,NA,4,NA,NA,NA,NESF,F,11,spring,152,-34.5,152.5
26,1088004,1975-11-10T00:00:00Z,1899-12-31T07:15:00Z,-35,154,E,1,11,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,NESF,F,11,spring,154,-35.5,154.5
27,1088005,1975-11-10T00:00:00Z,1899-12-31T10:45:00Z,-36,154,E,1,11,NA,1,0,3,NA,NA,NA,4,NA,NA,NA,NESF,F,11,spring,154,-36.5,154.5
28,1088006,1975-11-10T00:00:00Z,1899-12-31T16:05:00Z,-37,157,E,1,NA,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,NESF,F,11,spring,157,-37.5,157.5
29,1088007,1975-11-11T00:00:00Z,1899-12-31T06:25:00Z,-39,158,E,1,11,NA,0,0,2,NA,NA,NA,3,NA,NA,NA,NESF,F,11,spring,158,-39.5,158.5
30,1088008,1975-11-11T00:00:00Z,1899-12-31T11:35:00Z,-40,158,E,1,11,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,NESF,F,11,spring,158,-40.5,158.5
31,1088009,1975-11-11T00:00:00Z,1899-12-31T15:00:00Z,-40,159,E,1,11,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,NESF,F,11,spring,159,-40.5,159.5
32,1088010,1975-11-11T00:00:00Z,1899-12-31T16:10:00Z,-40,159,E,1,11,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,NESF,F,11,spring,159,-40.5,159.5
33,1088011,1975-11-11T00:00:00Z,1899-12-31T18:35:00Z,-41,160,E,1,11,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,NESF,F,11,spring,160,-41.5,160.5
34,1088012,1975-11-12T00:00:00Z,1899-12-31T06:05:00Z,-42,161,E,1,11,NA,2,8,2,NA,NA,NA,3,NA,NA,NA,NESF,F,11,spring,161,-42.5,161.5
35,1088013,1975-11-12T00:00:00Z,1899-12-31T07:25:00Z,-42,162,E,1,11,NA,1,4,2,NA,NA,NA,3,NA,NA,NA,NESF,F,11,spring,162,-42.5,162.5
36,1088014,1975-11-12T00:00:00Z,1899-12-31T10:30:00Z,-43,162,E,1,11,NA,2,0,2,NA,NA,NA,3,NA,NA,NA,NESF,F,11,spring,162,-43.5,162.5
37,1088015,1975-11-12T00:00:00Z,1899-12-31T17:30:00Z,-44,164,E,1,NA,NA,2,4,2,NA,NA,NA,3,NA,NA,NA,NESF,F,11,spring,164,-44.5,164.5
38,1088016,1975-11-13T00:00:00Z,1899-12-31T06:30:00Z,-46,166,E,1,12,NA,2,0,3,NA,NA,NA,4,NA,NA,NA,NESF,F,11,spring,166,-46.5,166.5
39,1088017,1975-11-13T00:00:00Z,1899-12-31T10:30:00Z,-46,167,E,1,13,NA,1,8,4,NA,NA,NA,4,NA,NA,NA,NESF,F,11,spring,167,-46.5,167.5
40,1092001,1975-10-26T00:00:00Z,1899-12-31T16:05:00Z,-36,176,E,1,10,NA,1,8,3,NA,NA,NA,4,NA,NA,NA,NESF,F,10,spring,176,-36.5,176.5
41,1092002,1975-10-27T00:00:00Z,1899-12-31T08:55:00Z,-34,174,E,1,10,NA,2,4,2,NA,NA,NA,3,NA,NA,NA,NESF,F,10,spring,174,-34.5,174.5
42,1092003,1975-10-27T00:00:00Z,1899-12-31T11:50:00Z,-34,173,E,1,10,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,NESF,F,10,spring,173,-34.5,173.5
43,1092004,1975-10-27T00:00:00Z,1899-12-31T11:25:00Z,-34,173,E,1,10,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,NESF,P,10,spring,173,-34.5,173.5
44,1092005,1975-10-27T00:00:00Z,1899-12-31T16:05:00Z,-34,172,E,1,10,NA,2,0,2,NA,NA,NA,3,NA,NA,NA,NESF,F,10,spring,172,-34.5,172.5
45,1092006,1975-10-28T00:00:00Z,1899-12-31T05:30:00Z,-34,169,E,1,10,NA,2,0,3,NA,NA,NA,4,NA,NA,NA,NESF,F,10,spring,169,-34.5,169.5
46,1092007,1975-10-28T00:00:00Z,1899-12-31T08:55:00Z,-34,169,E,1,10,NA,1,8,3,NA,NA,NA,4,NA,NA,NA,NESF,F,10,spring,169,-34.5,169.5
47,1092008,1975-10-28T00:00:00Z,1899-12-31T10:55:00Z,-34,168,E,1,10,NA,1,0,3,NA,NA,NA,4,NA,NA,NA,NESF,F,10,spring,168,-34.5,168.5
48,1092009,1975-10-28T00:00:00Z,1899-12-31T12:05:00Z,-34,168,E,1,10,NA,1,0,3,NA,NA,NA,4,NA,NA,NA,NESF,F,10,spring,168,-34.5,168.5
49,1092010,1975-10-28T00:00:00Z,1899-12-31T16:10:00Z,-34,167,E,1,10,NA,1,8,4,NA,NA,NA,4,NA,NA,NA,NESF,F,10,spring,167,-34.5,167.5
50,1092011,1975-10-28T00:00:00Z,1899-12-31T19:20:00Z,-34,167,E,1,10,NA,2,8,4,NA,NA,NA,4,NA,NA,NA,NESF,P,10,spring,167,-34.5,167.5
51,1092012,1975-10-29T00:00:00Z,1899-12-31T06:30:00Z,-34,164,E,1,10,NA,1,8,3,NA,NA,NA,4,NA,NA,NA,NESF,F,10,spring,164,-34.5,164.5
52,1092013,1975-10-29T00:00:00Z,1899-12-31T09:40:00Z,-34,164,E,1,10,NA,1,0,3,NA,NA,NA,3,NA,NA,NA,NESF,P,10,spring,164,-34.5,164.5
53,1092014,1975-10-29T00:00:00Z,1899-12-31T11:40:00Z,-34,163,E,1,10,NA,1,0,3,NA,NA,NA,4,NA,NA,NA,NESF,F,10,spring,163,-34.5,163.5
54,1092015,1975-10-29T00:00:00Z,1899-12-31T16:15:00Z,-33,162,E,1,10,NA,2,0,3,NA,NA,NA,4,NA,NA,NA,NESF,F,10,spring,162,-33.5,162.5
55,1092016,1975-10-30T00:00:00Z,1899-12-31T05:55:00Z,-34,159,E,1,11,NA,1,0,1,NA,NA,NA,3,NA,NA,NA,NESF,F,10,spring,159,-34.5,159.5
56,1092017,1975-10-30T00:00:00Z,1899-12-31T07:30:00Z,-33,159,E,1,11,NA,0,0,1,NA,NA,NA,1,NA,NA,NA,NESF,P,10,spring,159,-33.5,159.5
57,1092018,1975-10-30T00:00:00Z,1899-12-31T10:36:00Z,-33,158,E,1,11,NA,1,0,1,NA,NA,NA,3,NA,NA,NA,NESF,F,10,spring,158,-33.5,158.5
58,1092020,1975-10-30T00:00:00Z,1899-12-31T16:10:00Z,-33,157,E,1,11,NA,1,0,1,NA,NA,NA,3,NA,NA,NA,NESF,F,10,spring,157,-33.5,157.5
59,1092021,1975-10-30T00:00:00Z,1899-12-31T18:00:00Z,-33,156,E,1,11,NA,2,0,2,NA,NA,NA,3,NA,NA,NA,NESF,F,10,spring,156,-33.5,156.5
60,1092022,1975-10-31T00:00:00Z,1899-12-31T06:20:00Z,-33,154,E,1,10,NA,2,0,3,NA,NA,NA,4,NA,NA,NA,NESF,F,10,spring,154,-33.5,154.5
61,1092023,1975-10-31T00:00:00Z,1899-12-31T10:35:00Z,-33,153,E,1,10,NA,2,0,4,NA,NA,NA,5,NA,NA,NA,NESF,F,10,spring,153,-33.5,153.5
62,1092024,1975-10-31T00:00:00Z,1899-12-31T16:10:00Z,-33,152,E,1,10,NA,1,8,2,NA,NA,NA,3,NA,NA,NA,NESF,F,10,spring,152,-33.5,152.5
63,1100001,1976-01-21T00:00:00Z,1899-12-31T12:50:00Z,-45,170,E,1,15,NA,1,0,5,NA,NA,NA,4,NA,NA,NA,JENK,F,1,summer,170,-45.5,170.5
64,1100002,1976-01-24T00:00:00Z,1899-12-31T13:20:00Z,-45,170,E,1,15,NA,1,0,5,NA,NA,NA,4,NA,NA,NA,JENK,F,1,summer,170,-45.5,170.5
65,1100003,1976-01-24T00:00:00Z,1899-12-31T15:30:00Z,-46,170,E,1,15,NA,1,0,5,NA,NA,NA,4,NA,NA,NA,JENK,F,1,summer,170,-46.5,170.5
66,1100004,1976-01-24T00:00:00Z,1899-12-31T16:00:00Z,-46,170,E,1,14.5,NA,1,0,5,NA,NA,NA,4,NA,NA,NA,JENK,F,1,summer,170,-46.5,170.5
67,1100005,1976-01-24T00:00:00Z,1899-12-31T17:00:00Z,-46,169,E,1,15,NA,1,0,5,NA,NA,NA,4,NA,NA,NA,JENK,F,1,summer,169,-46.5,169.5
68,1100006,1976-01-24T00:00:00Z,1899-12-31T18:00:00Z,-46,169,E,1,15,NA,1,0,5,NA,NA,NA,4,NA,NA,NA,JENK,F,1,summer,169,-46.5,169.5
69,1100007,1976-01-24T00:00:00Z,1899-12-31T19:30:00Z,-46,169,E,1,15,NA,1,0,5,NA,NA,NA,4,NA,NA,NA,JENK,F,1,summer,169,-46.5,169.5
70,1100008,1976-01-24T00:00:00Z,1899-12-31T21:00:00Z,-46,168,E,1,15,NA,1,0,5,NA,NA,NA,4,NA,NA,NA,JENK,F,1,summer,168,-46.5,168.5
71,1100009,1976-01-25T00:00:00Z,1899-12-31T07:30:00Z,-45,164,E,1,15,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,JENK,F,1,summer,164,-45.5,164.5
72,1100010,1976-01-25T00:00:00Z,1899-12-31T08:00:00Z,-45,164,E,1,15,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,JENK,F,1,summer,164,-45.5,164.5
73,1100011,1976-01-25T00:00:00Z,1899-12-31T09:00:00Z,-45,164,E,1,15,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,JENK,F,1,summer,164,-45.5,164.5
74,1100012,1976-01-25T00:00:00Z,1899-12-31T11:00:00Z,-45,163,E,1,15,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,JENK,F,1,summer,163,-45.5,163.5
75,1100013,1976-01-25T00:00:00Z,1899-12-31T12:00:00Z,-45,163,E,1,15,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,JENK,F,1,summer,163,-45.5,163.5
76,1100014,1976-01-25T00:00:00Z,1899-12-31T15:00:00Z,-45,162,E,1,15,NA,2,0,5,NA,NA,NA,4,NA,NA,NA,JENK,F,1,summer,162,-45.5,162.5
77,1100015,1976-01-25T00:00:00Z,1899-12-31T15:45:00Z,-44,162,E,1,15,NA,1,0,6,NA,NA,NA,5,NA,NA,NA,JENK,F,1,summer,162,-44.5,162.5
78,1100016,1976-01-25T00:00:00Z,1899-12-31T16:00:00Z,-44,162,E,1,15,NA,2,8,6,NA,NA,NA,5,NA,NA,NA,JENK,F,1,summer,162,-44.5,162.5
79,1100017,1976-01-25T00:00:00Z,1899-12-31T18:30:00Z,-44,161,E,1,15,NA,2,8,5,NA,NA,NA,4,NA,NA,NA,JENK,F,1,summer,161,-44.5,161.5
80,1100018,1976-01-25T00:00:00Z,1899-12-31T20:00:00Z,-44,160,E,1,15,NA,2,6,4,NA,NA,NA,4,NA,NA,NA,JENK,F,1,summer,160,-44.5,160.5
81,1100019,1976-01-26T00:00:00Z,1899-12-31T07:00:00Z,-43,157,E,1,14,NA,2,2,8,NA,NA,NA,6,NA,NA,NA,JENK,F,1,summer,157,-43.5,157.5
82,1100020,1976-01-26T00:00:00Z,1899-12-31T08:00:00Z,-43,156,E,1,14,NA,2,2,8,NA,NA,NA,6,NA,NA,NA,JENK,F,1,summer,156,-43.5,156.5
83,1100021,1976-01-26T00:00:00Z,1899-12-31T10:00:00Z,-42,156,E,1,14,NA,2,2,8,NA,NA,NA,6,NA,NA,NA,JENK,F,1,summer,156,-42.5,156.5
84,1100022,1976-01-26T00:00:00Z,1899-12-31T12:00:00Z,-42,156,E,1,14,NA,2,0,9,NA,NA,NA,6,NA,NA,NA,JENK,F,1,summer,156,-42.5,156.5
85,1100023,1976-01-26T00:00:00Z,1899-12-31T15:00:00Z,-42,155,E,1,14,NA,2,0,9,NA,NA,NA,6,NA,NA,NA,JENK,F,1,summer,155,-42.5,155.5
86,1100024,1976-01-26T00:00:00Z,1899-12-31T16:00:00Z,-42,155,E,1,14,NA,2,0,9,NA,NA,NA,6,NA,NA,NA,JENK,F,1,summer,155,-42.5,155.5
87,1100025,1976-01-26T00:00:00Z,1899-12-31T17:00:00Z,-42,154,E,1,14,NA,2,0,9,NA,NA,NA,6,NA,NA,NA,JENK,F,1,summer,154,-42.5,154.5
88,1100026,1976-01-26T00:00:00Z,1899-12-31T18:30:00Z,-41,154,E,1,14,NA,2,0,9,NA,NA,NA,6,NA,NA,NA,JENK,F,1,summer,154,-41.5,154.5
89,1100027,1976-01-27T00:00:00Z,1899-12-31T07:00:00Z,-40,151,E,1,14,NA,2,0,8,NA,NA,NA,6,NA,NA,NA,JENK,F,1,summer,151,-40.5,151.5
90,1100028,1976-01-27T00:00:00Z,1899-12-31T08:00:00Z,-40,151,E,1,14,NA,2,0,8,NA,NA,NA,6,NA,NA,NA,JENK,F,1,summer,151,-40.5,151.5
91,1100029,1976-01-27T00:00:00Z,1899-12-31T09:30:00Z,-39,150,E,1,10,NA,2,0,7,NA,NA,NA,6,NA,NA,NA,JENK,F,1,summer,150,-39.5,150.5
92,1100030,1976-01-27T00:00:00Z,1899-12-31T12:00:00Z,-39,150,E,1,10,NA,2,0,8,NA,NA,NA,6,NA,NA,NA,JENK,F,1,summer,150,-39.5,150.5
93,1100031,1976-01-27T00:00:00Z,1899-12-31T13:00:00Z,-39,150,E,1,9,NA,2,0,8,NA,NA,NA,6,NA,NA,NA,JENK,F,1,summer,150,-39.5,150.5
94,1100032,1976-01-27T00:00:00Z,1899-12-31T16:00:00Z,-39,149,E,1,9,NA,2,0,8,NA,NA,NA,6,NA,NA,NA,JENK,F,1,summer,149,-39.5,149.5
95,1104001,1975-11-17T00:00:00Z,1899-12-31T13:30:00Z,-33.083333333333336,154.41666666666666,E,1,12.5,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,154.41666666666666,-33.5,154.5
96,1104002,1975-11-17T00:00:00Z,1899-12-31T14:30:00Z,-33,154,E,1,12.5,NA,0,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,154,-33.5,154.5
97,1104003,1975-11-17T00:00:00Z,1899-12-31T15:00:00Z,-33,154,E,1,12.5,NA,0,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,154,-33.5,154.5
98,1104004,1975-11-17T00:00:00Z,1899-12-31T15:50:00Z,-33,153,E,1,12.5,NA,0,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,153,-33.5,153.5
99,1104005,1975-11-17T00:00:00Z,1899-12-31T17:05:00Z,-33.03333333333333,153.83333333333334,E,1,12.5,NA,0,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,153.83333333333334,-33.5,153.5
100,1104006,1975-11-18T00:00:00Z,1899-12-31T12:30:00Z,-32,151,E,8,0,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,151,-32.5,151.5
101,1104007,1975-11-18T00:00:00Z,1899-12-31T13:00:00Z,-32,151,E,8,0,NA,1,0,3,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,151,-32.5,151.5
102,1104008,1975-11-18T00:00:00Z,1899-12-31T15:30:00Z,-32,151,E,8,0,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,151,-32.5,151.5
103,1104009,1975-11-18T00:00:00Z,1899-12-31T16:00:00Z,-32,151,E,8,0,NA,0,0,4,NA,NA,NA,4,NA,NA,NA,CHES,P,11,spring,151,-32.5,151.5
104,1104010,1975-11-18T00:00:00Z,1899-12-31T18:30:00Z,-32,151,E,8,0,NA,0,0,4,NA,NA,NA,4,NA,NA,NA,CHES,P,11,spring,151,-32.5,151.5
105,1104011,1975-11-17T00:00:00Z,1899-12-31T13:00:00Z,-33,154,E,1,12.5,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,154,-33.5,154.5
106,1104012,1975-11-17T00:00:00Z,1899-12-31T12:05:00Z,-33,154,E,1,12.5,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,154,-33.5,154.5
107,1104013,1975-11-17T00:00:00Z,1899-12-31T11:15:00Z,-33,155,E,1,12.5,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,155,-33.5,155.5
108,1104014,1975-11-17T00:00:00Z,1899-12-31T10:00:00Z,-33.166666666666664,155.41666666666666,E,1,12.5,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,155.41666666666666,-33.5,155.5
109,1104015,1975-11-17T00:00:00Z,1899-12-31T09:20:00Z,-33,155,E,1,12.5,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,155,-33.5,155.5
110,1104016,1975-11-17T00:00:00Z,1899-12-31T01:15:00Z,-33.4,157.56666666666666,E,1,12.5,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,CHES,P,11,spring,157.56666666666666,-33.5,157.5
111,1104017,1975-11-16T00:00:00Z,1899-12-31T17:00:00Z,-33,159,E,1,12.5,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,159,-33.5,159.5
112,1104018,1975-11-16T00:00:00Z,1899-12-31T15:45:00Z,-33,159,E,1,12.5,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,159,-33.5,159.5
113,1104019,1975-11-16T00:00:00Z,1899-12-31T15:00:00Z,-33,160,E,1,12.5,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,160,-33.5,160.5
114,1104020,1975-11-16T00:00:00Z,1899-12-31T14:45:00Z,-33,160,E,1,12.5,NA,1,0,3,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,160,-33.5,160.5
115,1104021,1975-11-16T00:00:00Z,1899-12-31T14:20:00Z,-33,160,E,1,12.5,NA,1,0,3,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,160,-33.5,160.5
116,1104022,1975-11-16T00:00:00Z,1899-12-31T14:05:00Z,-33.46666666666667,160.36666666666667,E,1,12.5,NA,1,0,3,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,160.36666666666667,-33.5,160.5
117,1104023,1975-11-16T00:00:00Z,1899-12-31T13:30:00Z,-33,160,E,1,12.5,NA,1,0,3,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,160,-33.5,160.5
118,1104024,1975-11-16T00:00:00Z,1899-12-31T13:00:00Z,-33,160,E,1,12.5,NA,1,0,3,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,160,-33.5,160.5
119,1104025,1975-11-16T00:00:00Z,1899-12-31T12:45:00Z,-33,160,E,1,12.5,NA,1,0,3,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,160,-33.5,160.5
120,1104026,1975-11-15T00:00:00Z,1899-12-31T17:05:00Z,-33,165,E,1,13,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,165,-33.5,165.5
121,1104027,1975-11-15T00:00:00Z,1899-12-31T15:20:00Z,-33,166,E,1,13,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,166,-33.5,166.5
122,1104028,1975-11-15T00:00:00Z,1899-12-31T14:30:00Z,-33,166,E,1,13,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,166,-33.5,166.5
123,1104029,1975-11-15T00:00:00Z,1899-12-31T13:45:00Z,-33.85,166.46666666666667,E,1,13,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,166.46666666666667,-33.5,166.5
124,1104030,1975-11-15T00:00:00Z,1899-12-31T13:30:00Z,-33,166,E,1,13,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,166,-33.5,166.5
125,1104031,1975-11-15T00:00:00Z,1899-12-31T11:20:00Z,-33,167,E,1,13,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,167,-33.5,167.5
126,1104032,1975-11-15T00:00:00Z,1899-12-31T10:20:00Z,-33,167,E,1,13,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,167,-33.5,167.5
127,1104033,1975-11-15T00:00:00Z,1899-12-31T09:35:00Z,-33,167,E,1,13,NA,0,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,167,-33.5,167.5
128,1104034,1975-11-14T00:00:00Z,1899-12-31T18:30:00Z,-34.25,171.73333333333332,E,1,13,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,171.73333333333332,-34.5,171.5
129,1104035,1975-11-14T00:00:00Z,1899-12-31T17:15:00Z,-34,172,E,1,13,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,172,-34.5,172.5
130,1104036,1975-11-14T00:00:00Z,1899-12-31T17:00:00Z,-34.266666666666666,172.05,E,1,13,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,172.05,-34.5,172.5
131,1104037,1975-11-14T00:00:00Z,1899-12-31T15:40:00Z,-34.31666666666667,172.33333333333334,E,1,13,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,172.33333333333334,-34.5,172.5
132,1104038,1975-11-14T00:00:00Z,1899-12-31T15:10:00Z,-34.333333333333336,172.61666666666667,E,1,13,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,CHES,F,11,spring,172.61666666666667,-34.5,172.5
133,1104039,1975-11-14T00:00:00Z,1899-12-31T14:35:00Z,-34.333333333333336,172.7,E,1,13,NA,1,0,3,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,172.7,-34.5,172.5
134,1104040,1975-11-14T00:00:00Z,1899-12-31T14:05:00Z,-34.36666666666667,172.9,E,1,13,NA,1,0,4,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,172.9,-34.5,172.5
135,1104041,1975-11-14T00:00:00Z,1899-12-31T13:35:00Z,-34.36666666666667,172.98333333333332,E,1,13,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,172.98333333333332,-34.5,172.5
136,1104042,1975-11-14T00:00:00Z,1899-12-31T13:05:00Z,-34,173,E,1,13,NA,1,0,3,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,173,-34.5,173.5
137,1104043,1975-11-14T00:00:00Z,1899-12-31T12:30:00Z,-34.45,173.18333333333334,E,1,13,NA,0,0,2,NA,NA,NA,3,NA,NA,NA,CHES,F,11,spring,173.18333333333334,-34.5,173.5
